seed,layer,soil,theta_h_mse,log10K_h_mse,mean_param_rel_error,mean_param_rel_error_pct,theta_r_rel_error_pct,theta_s_rel_error_pct,alpha_rel_error_pct,n_rel_error_pct,ks_rel_error_pct
0,1,Silt,0.0002520768904281,0.0377013952315796,0.0783935531864966,7.839355318649669,11.716503693776978,0.1165288945902905,25.169369857758284,2.161734643643782,0.0326395034790039
0,2,Sand,4.12808279489792e-05,0.0077892434504129,0.0306231086255791,3.0623108625579145,10.107292234897615,0.0047528466512975,2.767882675960153,0.5362040960966591,1.8954224591838464
0,3,Sandy Loam,1.534201467305958e-05,0.0059403284162911,0.0298370444191824,2.983704441918249,7.313860379732576,0.0174661961997487,0.858032703399662,1.0286303424330667,5.700532587826191
1,1,Silt,0.0002414861310071,0.0370152292491902,0.078144575214831,7.814457521483104,11.6520123446689,0.0295385070469024,25.091848894953728,2.0064754207638846,0.2924124399820963
1,2,Sand,4.9305908463644185e-05,0.0252838504766199,0.0344568358008751,3.4456835800875107,9.508619457483292,0.0060591586800524,4.782324412773402,1.109974419892718,1.8214404516080889
1,3,Sandy Loam,5.645096716687762e-06,0.0004856334394415,0.0290434590067772,2.904345900677728,7.006999621024502,0.0507721086827779,1.5492200851440394,0.2419829999328238,5.672754688604496
2,1,Silt,0.0002466505180656,0.0377684489135685,0.0787950534596736,7.879505345967363,11.700287724242497,0.1921036969060439,25.191127881407738,2.1338901380552784,0.1801172892252604
2,2,Sand,3.786122987845832e-05,0.0060638918613554,0.0291674181318883,2.916741813188838,9.838475286960604,0.0099162722742819,2.4203053836164874,0.4693134507136498,1.8456986723791675
2,3,Sandy Loam,1.72092015110648e-05,0.0070901895329923,0.0309722626068224,3.097226260682249,7.439660567503712,0.033815604884444,1.1829773585001666,1.0993107286079904,5.730367043914933
3,1,Silt,0.0002464359022309,0.0373814968954378,0.0783676373375531,7.836763733755311,11.6969678331824,0.0330629556075342,25.178811140358448,2.0541852408081867,0.2207914988199869
3,2,Sand,4.4276335277411975e-05,0.0252836542255134,0.0330514992425772,3.305149924257721,8.68218243122101,0.0057611354561754,4.933216654021172,1.0709556181039324,1.8336337824863151
3,3,Sandy Loam,6.216518882191539e-06,0.0004791493669866,0.029936570356583,2.9936570356583,7.297921868471002,0.0518915129870962,1.7721613248189254,0.1954156885702092,5.6508947834442695
4,1,Silt,0.0002290577553693,0.0381998197239006,0.0804299603741103,8.042996037411038,11.671142806025118,0.3008303434952402,25.46126963570714,1.9478366322760956,0.8339007695515951
4,2,Sand,4.227549288415334e-05,0.0103769040690963,0.0313117195111402,3.131171951114023,9.905586391687397,0.0048914621042635,3.2393965227850625,0.6239207822885026,1.88206459670489
4,3,Sandy Loam,1.2686817310229292e-05,0.0039535051691744,0.0284573315267768,2.845733152677681,7.212389203218317,0.0740033824269424,0.3609895706176795,0.8402670502031975,5.741016556922268
5,1,Silt,0.0002530716480421,0.0376657096597245,0.0784086520218328,7.84086520218328,11.723077735480146,0.1112940518752344,25.08116196841001,2.180216434228151,0.1085758209228515
5,2,Sand,3.954021349618264e-05,0.0071766204126725,0.0299165012920391,2.9916501292039097,10.054411739110948,0.0031934228054297,2.369590052242944,0.5829892941375217,1.9480661377227069
5,3,Sandy Loam,1.682480399210782e-05,0.0062244561375248,0.0312188684598313,3.121886845983134,7.579765870020943,0.0138390354993926,1.4478405316670773,0.9238964666134518,5.644092326114804
6,1,Silt,0.0002378944549525,0.0377368591812632,0.079187270963028,7.918727096302808,11.641307613428909,0.1933346623959705,25.28928928077221,2.0239565494286675,0.4457473754882812
6,2,Sand,4.5138943282670494e-05,0.0136316148658116,0.0325108765553483,3.25108765553484,10.00655107200146,0.0004105789716869,3.585802275559005,0.7627907083995247,1.8998836427425232
6,3,Sandy Loam,1.0585762965574484e-05,0.001900409012394,0.0271736543589057,2.717365435890574,7.316588438474218,0.0404357910156309,0.113940238952633,0.5417076998917566,5.574155011118633
7,1,Silt,0.0002360690832507,0.0377274532782496,0.0792822959617079,7.928229596170795,11.638738258796586,0.1648280931555663,25.33529661595821,1.9838517599732255,0.5184332529703777
7,2,Sand,4.283002821285457e-05,0.0131667563667248,0.0320885497901979,3.208854979019794,9.698897972702982,0.0009789023288476,3.584260776125159,0.7258358286387825,2.034301415303199
7,3,Sandy Loam,1.0889306654113235e-05,0.0023441409881752,0.0263934235095369,2.6393423509536955,7.162756874011117,0.0582517647161775,0.032021601994836,0.638424908673327,5.305256605373022
8,1,Silt,0.000238817672946,0.0376800266689045,0.0791730921841744,7.917309218417443,11.692437222775297,0.2097712910693581,25.244096852838997,2.0452924018358583,0.3949483235677083
8,2,Sand,3.964975100039859e-05,0.0142880209281061,0.031011239313407,3.101123931340703,9.110283479094509,0.0009617140126767,3.691693010001354,0.7770068609892372,1.9256745926057384
8,3,Sandy Loam,1.0009963848153515e-05,0.0016146297411108,0.0270430921795522,2.7043092179552235,7.23749765982995,0.0427763636519328,0.2610345681508345,0.5100320886682633,5.470205409475136
9,1,Silt,0.0002550068003502,0.0378020313279707,0.078492604572305,7.849260457230506,11.726918071508416,0.0599174395851423,25.1463545486331,2.169043826360764,0.1440684000651041
9,2,Sand,3.851907136035028e-05,0.0109393219667435,0.0304726762971404,3.047267629714044,9.20829586684704,0.0084225521531231,3.48428939950878,0.5994917741462307,1.935838555915047
9,3,Sandy Loam,1.3329650772161473e-05,0.0038466348035538,0.027896989001008,2.789698900100805,7.433218680895296,0.0150383972540193,0.0621318817138708,0.913552380112749,5.524553160528094
