theta_rmse,theta_mae,theta_r2,seed,elapsed_sec,n_obs,n_pde,stage1_epochs,stage2_epochs,lbfgs_max_iter,mean_theta_h_mse,mean_log10K_h_mse,mean_param_rel_error_pct
0.0012785973958671093,0.0007299236604012549,0.9999279975891113,0,2441.002686023712,1313,8000,10000,20000,10000,0.00010289991101671888,0.017143655699427888,4.628456874375277
0.0017927488079294562,0.0009051549714058638,0.9998583793640137,1,2479.2036464214325,1313,8000,10000,20000,10000,9.881237872914971e-05,0.020928237721750575,4.7214956674161135
0.0022451356053352356,0.0010166678112000227,0.9997779130935669,2,2406.962337732315,1313,8000,10000,20000,10000,0.00010057364981839958,0.016974176769305467,4.6311578066128165
0.0017514332430437207,0.0009380807168781757,0.9998648762702942,3,2497.459381341934,1313,8000,10000,20000,10000,9.897625213020008e-05,0.02104810016264598,4.711856897890444
0.0013198392698541284,0.0007696257089264691,0.9999232292175293,4,2505.51482796669,1313,8000,10000,20000,10000,9.467335518791838e-05,0.017510076320723843,4.6733003804009146
0.0022960056085139513,0.0010803251061588526,0.9997677803039551,5,2411.30601811409,1313,8000,10000,20000,10000,0.00010314555517681578,0.017022262069973995,4.651467392456774
0.00205805292353034,0.0009549195528961718,0.9998133778572083,6,2457.1045446395874,1313,8000,10000,20000,10000,9.787305373361051e-05,0.017756294353156326,4.629060062576074
0.002498259302228689,0.0012585953809320927,0.9997250437736511,7,2436.251646757126,1313,8000,10000,20000,10000,9.659613937257389e-05,0.017746116877716576,4.592142308714762
0.0023579010739922523,0.001142025226727128,0.9997550845146179,8,2483.866917848587,1313,8000,10000,20000,10000,9.615912926487495e-05,0.017860892446040524,4.574247455904456
0.002605697838589549,0.0012096608988940716,0.9997009038925171,9,2445.479442834854,1313,8000,10000,20000,10000,0.0001022851741609046,0.017529329366089395,4.562075662348452
